Framework,Tag,Members,Confidence,CandidateHooks,ParseSites
Antares,Experience.PassengerModifier,PassengerExperienceModifier,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:262
Antares,Experience.PromotePassengers,PassengersGainExperience,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:260
Antares,Experience.SpawnModifier,SpawnExperienceSpawnModifier,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:266
Antares,Experience.SpawnOwnerModifier,SpawnExperienceOwnerModifier,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:265
Antares,ExplosionDamage,ExplosionDamage,same-subsystem,4,src/Ext/Tiberium/Body.cpp:25
Antares,ExplosionWarhead,ExplosionWarhead,same-subsystem,4,src/Ext/Tiberium/Body.cpp:24
Antares,Factory.ExplicitOnly,Factory_ExplicitOnly,member-referenced-broad,104,src/Ext/BuildingType/Body.cpp:222
Antares,FactoryOwners,FactoryOwners,member-referenced-broad,203,src/Ext/TechnoType/Body.cpp:319
Antares,FactoryOwners.Forbidden,ForbiddenFactoryOwners,member-referenced-broad,203,src/Ext/TechnoType/Body.cpp:320
Antares,FactoryOwners.HaveAllPlans,FactoryOwners_HaveAllPlans,member-referenced,10,src/Ext/TechnoType/Body.cpp:321
Antares,File.LoadScreen,LoadScreenBackground,member-referenced,19,src/Ext/HouseType/Body.cpp:263
Antares,File.LoadScreenPAL,LoadScreenPalette,member-referenced,19,src/Ext/HouseType/Body.cpp:264
Antares,File.ObserverFlagAltPalette,ObserverFlagYuriPAL,member-referenced,19,src/Ext/HouseType/Body.cpp:272
Antares,File.Taunt,TauntFile,member-referenced,19,src/Ext/HouseType/Body.cpp:265
Antares,Firestorm.Wall,Firewall_Is,member-referenced,17,src/Ext/BuildingType/Body.cpp:43
Antares,ForceShield.Modifier,ForceShield_Modifier,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:285
Antares,Foundation,,same-subsystem-broad,103,src/Ext/BuildingType/Body.cpp:64
Antares,Foundation.X,CustomWidth,member-referenced,19,src/Ext/BuildingType/Body.cpp:70
Antares,Foundation.Y,CustomHeight,member-referenced,19,src/Ext/BuildingType/Body.cpp:71
Antares,FoundationOutline.Length,OutlineLength,same-subsystem-broad,103,src/Ext/BuildingType/Body.cpp:72
Antares,GateDownSound,GateDownSound,member-referenced,5,src/Ext/BuildingType/Body.cpp:224
Antares,GateUpSound,GateUpSound,member-referenced,5,src/Ext/BuildingType/Body.cpp:225
Antares,Gattling.Cycle,GattlingCyclic,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:324
Antares,General,CloakHeight;DamageToFirestormDamageCoefficient;DropPodMaximum;DropPodMinimum;DropPodTrailer;DropPodTypes;EnemyWrench;EngineerAlwaysCaptureTech;EngineerDamage;EngineerDamageCursor;HunterSeekerAscentSpeed;HunterSeekerDescendProximity;HunterSeekerDescentSpeed;HunterSeekerDetonateProximity;HunterSeekerEmergeSpeed;TogglePowerAllowed;TogglePowerCursor;TogglePowerDelay;TogglePowerNoCursor,member-referenced-broad,218,src/Ext/Rules/Body.cpp:136 ; src/Ext/Rules/Body.cpp:142 ; src/Ext/Rules/Body.cpp:143 ; src/Ext/Rules/Body.cpp:144 ; src/Ext/Rules/Body.cpp:146 ; src/Ext/Rules/Body.cpp:149
Antares,GenerateUrbanAreas,UrbanAreas,member-referenced,22,src/Misc/RMG.cpp:120
Antares,GraphicalText.Image,GraphicalTextImage,member-referenced-broad,41,src/Ext/Side/Body.cpp:153
Antares,GraphicalText.Palette,GraphicalTextPalette,member-referenced-broad,41,src/Ext/Side/Body.cpp:154
Antares,GroupAs,GroupAs,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:370
Antares,HasSpotlight,Is_Spotlighted,member-referenced,32,src/Ext/TechnoType/Body.cpp:157
Antares,Heal.Delay,Heal_Delay,same-subsystem,4,src/Ext/Tiberium/Body.cpp:22
Antares,Heal.IStep,Heal_IStep,same-subsystem,4,src/Ext/Tiberium/Body.cpp:20
Antares,Heal.Step,Heal_Step,same-subsystem,4,src/Ext/Tiberium/Body.cpp:19
Antares,Heal.UStep,Heal_UStep,same-subsystem,4,src/Ext/Tiberium/Body.cpp:21
Antares,HoverSound,HoverSound,member-referenced,17,src/Ext/Campaign/Body.cpp:38
Antares,HunterSeeker,HunterSeeker,member-referenced,14,src/Ext/Side/Body.cpp:130
Antares,HunterSeeker.AscentSpeed,HunterSeekerAscentSpeed,member-referenced,9,src/Ext/TechnoType/Body.cpp:388
Antares,HunterSeeker.Buildings,HunterSeeker_Buildings,member-referenced,1,src/Misc/SWTypes/HunterSeeker.cpp:46
Antares,HunterSeeker.DescendProximity,HunterSeekerDescendProximity,member-referenced,9,src/Ext/TechnoType/Body.cpp:387
