Address,Framework,Channel,Function,StolenBytes,Subsystem,SourceFile
0x4566F9,Ares,release,BuildingClass_GetRangeOfRadial_SensorArray,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x45670D,Phobos,release,BuildingClass_GetRadialIndicatorRange_Extras,0x7,Ext/Building,src/Ext/Building/Hooks.cpp
0x456776,Phobos,release,BuildingClass_DrawRadialIndicator_Visibility,0x6,Misc,src/Misc/Hooks.UI.cpp
0x456E5A,Kratos,release,BuildingClass_Flash_Airstrike,0x6,Hooks,src/Hooks/AirstrikeExtHook.cpp
0x456E5A,Phobos,release,BuildingClass_Flash_Airstrike,0x6,Ext/Techno,src/Ext/Techno/Hooks.Airstrike.cpp
0x4571E0,Antares,release,BuildingClass_Infiltrate,0x5,Ext/Building,src/Ext/Building/Hooks.Infiltrate.cpp
0x4571E0,Ares,release,BuildingClass_Infiltrate,0x5,Ext/Building,src/Ext/Building/Hooks.Infiltrate.cpp
0x4574D2,Antares,release,BuildingClass_Infiltrate_Standard,0x6,Ext/Building,src/Ext/Building/Hooks.Infiltrate.cpp
0x4574D2,Ares,release,BuildingClass_Infiltrate_Standard,0x6,Ext/Building,src/Ext/Building/Hooks.Infiltrate.cpp
0x457533,Antares,release,BuildingClass_Infiltrate_Standard,0x6,Ext/Building,src/Ext/Building/Hooks.Infiltrate.cpp
0x457533,Ares,release,BuildingClass_Infiltrate_Standard,0x6,Ext/Building,src/Ext/Building/Hooks.Infiltrate.cpp
0x457630,Antares,release,BuildingClass_SWAvailable,0x9,Ext/SWType,src/Ext/SWType/Hooks.cpp
0x457630,Ares,release,BuildingClass_SWAvailable,0x9,Ext/SWType,src/Ext/SWType/Hooks.cpp
0x457690,Antares,release,BuildingClass_SW2Available,0x9,Ext/SWType,src/Ext/SWType/Hooks.cpp
0x457690,Ares,release,BuildingClass_SW2Available,0x9,Ext/SWType,src/Ext/SWType/Hooks.cpp
0x457855,Phobos,release,BuildingClass_IsReadyToCloak_Sensors,0x6,Ext/Techno,src/Ext/Techno/Hooks.Cloak.cpp
0x4579A5,Phobos,release,BuildingClass_ShouldNotCloak_Sensors,0x6,Ext/Techno,src/Ext/Techno/Hooks.Cloak.cpp
0x457D58,Antares,release,BuildingClass_CanBeOccupied_SpecificOccupiers,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x457D58,Ares,release,BuildingClass_CanBeOccupied_SpecificOccupiers,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x457DB7,Antares,release,BuildingClass_CanBeOccupied_SpecificAssaulters,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x457DB7,Ares,release,BuildingClass_CanBeOccupied_SpecificAssaulters,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x458060,Phobos,release,BuildingClass_ClearOccupants_Redraw,0x5,Misc,src/Misc/Hooks.BugFixes.cpp
0x458180,Phobos,release,BuildingClass_RemoveOccupants_CheckWhenNoPlaceToUnload,0x9,Misc,src/Misc/Hooks.BugFixes.cpp
0x4581CD,Antares,release,BuildingClass_UnloadOccupants_AllOccupantsHaveLeft,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x4581CD,Ares,release,BuildingClass_UnloadOccupants_AllOccupantsHaveLeft,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x458623,Phobos,release,BuildingClass_KillOccupiers_Replace_MuzzleFix,0x7,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x4586CA,Antares,release,BuildingClass_KillOccupiers_EachOccupierKilled,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x4586CA,Ares,release,BuildingClass_KillOccupiers_EachOccupierKilled,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x458729,Antares,release,BuildingClass_KillOccupiers_AllOccupantsKilled,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x458729,Ares,release,BuildingClass_KillOccupiers_AllOccupantsKilled,0x6,Ext/Building,src/Ext/Building/Hooks.Trenches.cpp
0x459069,Phobos,release,BuildingClass_UpdateTankBunker_CheckOccupants,0x7,Ext/Building,src/Ext/Building/Hooks.cpp
0x459101,Phobos,release,BuildingClass_UpdateTankBunker_RotateToTrack,0x6,Ext/Building,src/Ext/Building/Hooks.cpp
0x45933D,Phobos,release,BuildingClass_BunkerSound,0x5,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x4593C7,Phobos,release,BuildingClass_DestroyTankBunker,0x6,Ext/Building,src/Ext/Building/Hooks.cpp
0x459494,Phobos,release,BuildingClass_BunkerSound,0x5,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x4595D9,Phobos,release,BuildingClass_BunkerSound,0x5,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x4596EC,Phobos,release,BuildingClass_UnloadTankBunker,0x6,Ext/Building,src/Ext/Building/Hooks.cpp
0x45E50C,Antares,release,BuildingTypeClass_CTOR,0x6,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x45E50C,Ares,release,BuildingTypeClass_CTOR,0x6,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x45E50C,Phobos,release,BuildingTypeClass_CTOR,0x6,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x45E707,Antares,release,BuildingTypeClass_DTOR,0x6,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x45E707,Ares,release,BuildingTypeClass_DTOR,0x6,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x45E707,Phobos,release,BuildingTypeClass_DTOR,0x6,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x45EAA5,Antares,release,BuildingTypeClass_LoadArt_BuildupTime,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x45EAA5,Ares,release,BuildingTypeClass_LoadArt_BuildupTime,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x45EC90,Antares,release,Foundations_GetFoundationWidth,0x6,Ext/Building,src/Ext/Building/Hooks.Foundation.cpp
0x45EC90,Ares,release,Foundations_GetFoundationWidth,0x6,Ext/Building,src/Ext/Building/Hooks.Foundation.cpp
0x45ECA0,Antares,release,Foundations_GetFoundationHeight,0x6,Ext/Building,src/Ext/Building/Hooks.Foundation.cpp
0x45ECA0,Ares,release,Foundations_GetFoundationHeight,0x6,Ext/Building,src/Ext/Building/Hooks.Foundation.cpp
0x45ECE0,Antares,release,BuildingTypeClass_GetMaxPips,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x45ECE0,Ares,release,BuildingTypeClass_GetMaxPips,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x45EF3A,Phobos,release,BuildingTypeClass_FlushForPlacement_BuildableTerrain,0x7,Ext/TerrainType,src/Ext/TerrainType/Hooks.Passable.cpp
0x45F2B4,Antares,release,BuildingTypeClass_Load2DArt_BuildupTime,0x5,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x45F2B4,Ares,release,BuildingTypeClass_Load2DArt_BuildupTime,0x5,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x460285,Phobos,release,BuildingTypeClass_LoadFromINI_Muzzle,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x464749,Phobos,release,BuildingTypeClass_ReadINI_PowerUpAnims,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.Upgrade.cpp
0x464A49,Antares,release,BuildingTypeClass_LoadFromINI,0xA,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x464A49,Ares,release,BuildingTypeClass_LoadFromINI,0xA,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x464A49,Phobos,release,BuildingTypeClass_LoadFromINI,0xA,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x464A56,Antares,release,BuildingTypeClass_LoadFromINI,0xA,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x464A56,Ares,release,BuildingTypeClass_LoadFromINI,0xA,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x464A56,Phobos,release,BuildingTypeClass_LoadFromINI,0xA,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x464AF0,Antares,release,BuildingTypeClass_GetSizeInLeptons,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x464AF0,Ares,release,BuildingTypeClass_GetSizeInLeptons,0x6,Ext/BuildingType,src/Ext/BuildingType/Hooks.cpp
0x465010,Antares,release,BuildingTypeClass_SaveLoad_Prefix,0x5,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x465010,Ares,release,BuildingTypeClass_SaveLoad_Prefix,0x5,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x465010,Phobos,release,BuildingTypeClass_SaveLoad_Prefix,0x5,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x4652ED,Antares,release,BuildingTypeClass_Load_Suffix,0x7,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
0x4652ED,Ares,release,BuildingTypeClass_Load_Suffix,0x7,Ext/BuildingType,src/Ext/BuildingType/Body.cpp
