String,Kind,Domains,ReadSites,StringVA
EligibleForDelayKill,tag,ra2|rules,0x460224,0x81acb0
EliteAbilities,tag,ra2|rules|ts|tsfs,0x7154e8,0x8434d4
EliteAirstrikeRechargeTime,tag,rules,0x714637,0x843b10
EliteAirstrikeTeam,tag,rules,0x71459f,0x843b70
EliteAirstrikeTeamType,tag,rules,0x7145f8,0x843b44
EliteFlashTimer,tag,ra2|rules,0x66b273,0x83a3b4
EliteOccupyWeapon,tag,rules,0x524156,0x825a3c
ElitePBarrelLength,unclassified,,0x715ed8,0x843274
ElitePBarrelThickness,unclassified,,0x715efc,0x84325c
ElitePrimary,tag,ra2|rules,0x712a32,0x8442dc
ElitePrimaryFireFLH,tag,art|ra2,0x715e95,0x843288
EliteSBarrelLength,unclassified,,0x715f5d,0x843230
EliteSBarrelThickness,unclassified,,0x715f81,0x843218
EliteSecondary,tag,ra2|rules,0x712a5f,0x8442cc
EliteSecondaryFireFLH,tag,art,0x715f20,0x843244
Emblem,unclassified,,0x68d151 0x68dcb3,0x83e410
Emphasis,unclassified,,0x7711c9,0x849208
EmptyReload,unclassified,,0x71488b,0x843a50
End,tag,art|ra2|ts,0x427fdb,0x818590
EndOfGame,tag,map,0x68a10e 0x68b143,0x83e138
EndPlanningModeSound,tag,ra2|rules,0x669716,0x83aa64
EndStateAI,tag,ra2|rules|ts|tsfs,0x645149,0x8371cc
EnemyHealth,tag,ra2|rules|ts,0x66b3b1,0x83a354
EnemyHouseThreatBonus,tag,ra2|rules|ts,0x671c74,0x83b514
Engineer,tag,ra2|rules|ts,0x524571 0x66fc88,0x82596c
EngineerCaptureLevel,tag,tsfs,0x671e03 0x671e2a,0x83b414
Enslaves,tag,rules,0x714dd7,0x843824
EnterBioReactorSound,tag,rules,0x66a19b 0x71386e,0x83a704
EnterGrinderSound,tag,rules,0x66a117 0x7137f6,0x83a730
EnterTransportSound,tag,ra2|rules,0x7133fc,0x8440e8
EnterWaterSound,tag,ra2|rules,0x524403,0x8259f0
ErrorControl_Off,unclassified,,0x5bbbb8,0x82ce24
ErrorControl_On,unclassified,,0x5bbb5b,0x82ce60
ErrorCorrection,unclassified,,0x698551 0x699309,0x83f0a8
Europe,unclassified,,0x78830a,0x84b614
Evacuate,unclassified,,0x7703f2,0x8491a0
ExecutePlanSound,tag,ra2|rules,0x669b73,0x83a928
Exit,unclassified,,0x7a17c1,0x84d438
ExitCoord,tag,ra2|rules|ts,0x460fb6,0x81a808
ExpSpread,tag,ra2|rules|ts,0x66cddf,0x83ad74
ExpireAnim,tag,art|ra2|rules|ts,0x4284c4 0x74b36f,0x8183ec
ExplodeTurretIndex,tag,ra2|rules,0x747cf8,0x845b64
ExplodeTurretWeapon,tag,ra2|rules,0x747d07,0x845b50
Explodes,tag,ra2|rules|ts,0x5fe840 0x7122c5,0x83355c
Explosion,tag,map|ra2|rules|ts|tsfs,0x71399a,0x81da00
ExplosiveVoxelDebris,tag,ra2|rules|ts,0x66efaf,0x83c964
ExtraAircraftLight,tag,ra2|rules|ts,0x66b730,0x83a228
ExtraDamageStage,tag,art|ra2|ts|tsfs,0x46136c,0x81a694
ExtraInfantryLight,tag,ra2|rules|ts,0x66b6e7,0x83a23c
ExtraLight,tag,art|ra2|ts|tsfs,0x4613f1,0x81a650
ExtraPower,tag,ra2|rules,0x4610b3,0x81a7b0
ExtraUnitLight,tag,ra2|rules|ts,0x66b69e,0x83a250
FACTORY,unclassified,,0x475ad0 0x4771b3,0x81c028
FINI,code,,0x6c7111,0x8420fc
FShift,tag,ra2|sound,0x7508ad,0x84652c
FULLFNT3.PAL,file,,0x5d2f08,0x830620
FULLFNT3.SHP,file,,0x5d2ec6 0x690a59,0x830664
Facings,tag,tsfs,0x747951,0x845d18
Factory,tag,ra2|rules|ts|tsfs,0x460521,0x8173f0
FactoryPlant,tag,rules,0x460507,0x81ac2c
Fail,unclassified,,0x7a16c0,0x84d4b4
FallBackCoefficient,tag,rules,0x66b8d5,0x83a150
FallingDamageMultiplier,tag,rules,0x66c9c5,0x83af30
Fearless,tag,ra2|rules|ts|tsfs,0x524469,0x8259d4
Fighter,tag,ra2|rules,0x41cc84,0x818034
FileName,tag,ra2|theater|ts,0x5460db,0x829268
Fill,unclassified,,0x4acf3b,0x820170
FillEarliestTeamProbability,tag,ra2|rules|ts,0x66fe83,0x83c534
FillSilos,tag,map,0x68a25a 0x68b3b7,0x83e0bc
FinalDamageState,tag,ra2|rules|ts,0x6452eb,0x837100
FinalMovie,tag,battle|ra2|ts,0x46cd1e,0x81b1c8
FineDiffControl,tag,ra2|rules|ts,0x66fd61,0x83c5d4
Fire,tag,ra2|rules|ts|tsfs,0x75d5e5,0x836f04
FireAngle,tag,ra2|rules|ts|tsfs,0x714b5d,0x843910
FireInTransport,tag,rules,0x772259,0x849460
FireOnce,tag,ra2|rules,0x772155,0x8494fc
FirePower,unclassified,,0x66d295,0x83b3f8
FireProne,tag,art|ra2|ts,0x5246e8,0x8257b8
FireSupress,tag,ra2|rules|ts,0x66cdff,0x83ad68
FireUp,tag,art|ra2|ts|tsfs,0x5246ca,0x8257d8
FireWhileMoving,tag,rules,0x772225,0x84947c
Firepower,tag,ra2|rules|ts,0x511988,0x81d9c0
FirersPalette,tag,ra2|rules,0x46c367,0x81affc
FirestormWall,tag,ts,0x460ac7,0x81aa20
FirewallDelta,unclassified,,0x5d9021 0x5d9393 0x5d93eb,0x830cb0
FirewallSettings,unclassified,,0x5d9007 0x5d9379 0x5d93d5,0x830cc0
FiringFrames,tag,art|ra2|ts|tsfs,0x747809,0x845d84
FixedAlliance,tag,map,0x6b8bea 0x6b8e47,0x84021c
FlakScatter,tag,ra2|rules,0x46c105,0x81b0a0
FlakTurretIndex,tag,ra2|rules,0x747c54,0x845c04
FlakTurretWeapon,tag,ra2|rules,0x747c63,0x845bf0
FlameDamage,tag,ra2|rules|ts,0x66c2a1,0x83b1f0
FlameDamage2,tag,ra2|rules|ts,0x66c2e0,0x83b1e0
Flamer,unclassified,,0x427e55,0x81861c
FlamingInfantry,tag,ra2|rules|ts,0x66e37d,0x83cd44
FlashFrameTime,tag,ra2|rules|ts,0x671979,0x83b750
FlashSidebarTabFrames,tag,rules,0x6ceae1,0x8426dc
Flat,tag,art|ra2|ts|tsfs,0x427e3b 0x461153 0x46c27e,0x818624
FlightLevel,tag,ra2|rules|ts,0x66f2fb 0x71233d,0x83c854
Float,tag,ra2|rules|ts,0x674140 0x67416a,0x81dbac
FloatBeach,tag,ra2|rules,0x6741cf 0x6741f2,0x81dba0
Floater,tag,ra2|rules|ts,0x46bfd1,0x81b128
FlowControl_Hard,unclassified,,0x5bbccf,0x82cd78
FlyBack,tag,rules,0x41cd75,0x817ff0
FlyBy,tag,rules,0x41cd5b,0x817ff8
FogOfWar,tag,map|ra2|rules|ts,0x6721e7 0x6b8c1b 0x6b8e6f,0x83cf78
FogRate,tag,ra2|rules|ts,0x66b4d7,0x83a2ec
Foot,tag,ra2|rules|ts,0x674075 0x674098,0x81dbd4
ForbiddenHouses,tag,ra2|rules,0x71455d,0x843b94
ForceBigCraters,tag,art|ra2,0x427ed7,0x8185e4
ForcePortBase,unclassified,,0x698185,0x83f19c
ForceShieldBlackoutDuration,tag,rules,0x6710de,0x83bc30
ForceShieldColor,tag,rules,0x66b884,0x83a180
ForceShieldDuration,tag,rules,0x6710be,0x83bc4c
ForceShieldInvokeAnim,tag,rules,0x66e282,0x83cd88
ForceShieldPlayFadeSoundTime,tag,rules,0x6710fe,0x83bc10
ForceShieldRadius,tag,rules,0x67109f,0x83bc60
Foundation,tag,art|ra2|ts|tsfs,0x46122c 0x46123d 0x71df6e,0x81a734
Fraidycat,tag,ra2|rules|ts|tsfs,0x524487,0x8259c8
Frame,unclassified,,0x698a3c,0x83f048
FreeForAll,unclassified,,0x5d7df8,0x830bd8
FreeMCV,tag,ra2|rules|ts,0x66b936,0x83acc4
FreeRadar,tag,map,0x68a5f0 0x68b4a8,0x83dff8
FreeUnit,tag,ra2|rules|ts,0x460540,0x81ac20
FriendlyName,unclassified,,0x7743b0,0x8497bc
Full,tag,ai|map|ra2|ts|tsfs,0x6f1171 0x6f15df,0x8430c4
GAME.FNT,unclassified,,0x434ae7 0x4354de,0x818b98
GAPLUG,unclassified,,0x5058b5,0x824eb8
GDI,tag,ra2|rules|ts,0x50ae06,0x824fc4
GDIBarracks,tag,ra2|rules|ts,0x460b15,0x81aa00
GDIBaseDefenseCoefficient,tag,ra2|rules|ts,0x673e0e,0x83d144
GDIGateOne,tag,ra2|rules|ts,0x66f46a,0x83c80c
GDIGateTwo,tag,ra2|rules|ts,0x66f4a9,0x83c800
GDIPowerPlant,tag,ra2|rules|ts,0x66f6a7,0x83c7c0
GDIWallDefense,tag,ra2|rules|ts,0x673d9c,0x83d198
GDIWallDefenseCoefficient,tag,ra2|rules|ts,0x673dc2,0x83d17c
GENERIC.MIX,file,,0x530562,0x826814
GENERMD.MIX,file,,0x530522,0x826820
GLSMD.PAL,file,,0x5312aa,0x8268b0
GRFXTXT.PAL,file,,0x52c1ef,0x826078
GRFXTXT.SHP,file,,0x52c2c8,0x82606c
GSKU,code,,0x6c7045,0x842114
GUIBuildSound,tag,ra2|rules,0x6693c1,0x83ab4c
GUICheckboxSound,tag,ra2|rules,0x6695ce,0x83aac4
GUICloseSound,tag,ra2|rules,0x669486,0x83ab20
GUIComboCloseSound,tag,ra2|rules,0x66958c,0x83aad8
GUIComboOpenSound,tag,ra2|rules,0x66954b,0x83aaec
GUIMainButtonSound,tag,ra2|rules,0x66937f,0x83ab5c
GUIMoveInSound,tag,ra2|rules,0x669509,0x83ab00
GUIMoveOutSound,tag,ra2|rules,0x6694c7,0x83ab10
GUIOpenSound,tag,ra2|rules,0x669444,0x83ab30
GUITabSound,tag,ra2|rules,0x669402,0x83ab40
Game,unclassified,,0x7703cb,0x8491ac
GameClosed,tag,ra2|rules|ts,0x66a77e,0x83a558
GameForming,tag,ra2|rules|ts,0x66a8c6,0x83a50c
GameMode,tag,map|ra2,0x697f31 0x698413 0x698fa6 0x6991b1 0x699822 0x69a62b,0x83efd0
GameSpeed,tag,ra2|rules,0x5fa646 0x5fad3e 0x671fcc 0x697f5e 0x698fcc,0x8332e8
GameSpeedBias,tag,ra2|rules|ts,0x670b26,0x83bf24
GapGenerator,tag,ra2|rules,0x713f99,0x843e98
GapRadiusInCells,tag,ra2|rules,0x713fb6,0x843e84
Gate,tag,ra2|rules|ts,0x4609f7,0x81aa8c
GateCloseDelay,tag,ra2|rules|ts,0x460dd8,0x81a8dc
GateDown,tag,ra2|rules|ts,0x66a652,0x83a5a8
GateStages,tag,art|ra2|ts,0x4612d8,0x81a6f4
GateUp,tag,ra2|rules|ts,0x66a611,0x83a5b4
General,unclassified,,0x52d4d5 0x545542 0x545569 0x545584 0x54559f 0x5455ba 0x5455d5 0x5455f0 0x54560b 0x545626 0x545644 0x54565c 0x545677 0x545692 0x5456ad 0x5456c8 0x5456e3 0x5456fe 0x545719 0x545734 0x54574f 0x54576a 0x545785 0x5457a0 0x5457be 0x5457d6 0x5457f1 0x54580c 0x545827 0x545842 0x54585d 0x545878 0x545893 0x5458ae 0x5458c9 0x5458e4 0x5458ff 0x54591d 0x545935 0x545950 0x54596c 0x545987 0x5459a2 0x5459bd 0x5459d8 0x5459f3 0x545a0e 0x545abc 0x545b61 0x545b7a 0x545b93 0x545bac 0x545bc5 0x545bde 0x545bf7 0x545c10 0x545c29,0x826278
"Generate_Real_Timing_Event
",unclassified,,0x647bba,0x837444
GenericBeep,tag,ra2|rules|ts,0x66ad72,0x83a438
GenericClick,tag,ra2|rules|ts,0x66ad30,0x83a444
GeneticMutatorActivateSound,tag,rules,0x669f8d,0x83a7c0
GetActiveWindow,unclassified,,0x7daed4,0x7fa34c
GetDiskFreeSpaceExA,unclassified,,0x48dd74,0x81d80c
GetLastActivePopup,unclassified,,0x7daedc,0x7fa338
Gravity,tag,ra2|rules|ts,0x66b3d1,0x83a34c
Green,tag,map|ra2|rules|ts,0x68a8ab 0x68b652,0x82053c
GreenTile,tag,ra2|theater|ts,0x5455eb,0x829594
GreenTint,unclassified,,0x5998cc,0x82bf74
Grinding,tag,rules,0x460971,0x81aac8
Ground,tag,map,0x5998fa 0x68a91f 0x68b698,0x81db84
Groundspeed,tag,ra2|rules|ts,0x5119a9 0x66d2ab,0x825488
Group,tag,ai|map|ra2|ts|tsfs,0x6e84d4 0x6e858b 0x6f1364 0x6f1735,0x842dc4
Growth,tag,ra2|rules|ts,0x721ac0,0x844908
GrowthPercentage,tag,mp|ra2|rules|ts,0x721ad9,0x8448f4
GrowthRate,tag,ra2|rules|ts,0x670d69,0x83be14
GuardArea,tag,ra2|rules|ts,0x6742ce,0x81bebc
GuardAreaTargetingDelay,tag,ra2|rules,0x6701a7,0x83c36c
GuardModeStray,tag,ra2|rules,0x670eca,0x83bd90
GuardRange,tag,ra2|rules|ts|tsfs,0x7122ab,0x8444a4
GuardSlower,tag,ai|map|ra2|ts|tsfs,0x6f11a5 0x6f1609,0x8430ac
GuardSound,tag,ra2|rules|ts,0x66ae37,0x83a41c
GuardianTurretIndex,tag,rules,0x747e69,0x8459d4
GuardianTurretWeapon,tag,rules,0x747e78,0x8459bc
Gunner,tag,ra2|rules,0x714a50,0x843964
HALLFAME.DAT,unclassified,,0x68e4a2 0x68e988,0x83e32c
HSVC,code,,0x76adda 0x76af4b,0x848cc0
HTMLPath,unclassified,,0x773744 0x7739b6 0x773c0d,0x849640
HalfDamageSmokeLocation,unclassified,,0x74776f,0x845db0
HalfDamageSmokeLocation1,tag,ra2|rules|ts,0x45ff04,0x81ae84
HalfDamageSmokeLocation2,unclassified,,0x45ff33,0x81ae68
Handle,unclassified,,0x6982ba 0x69911a,0x83f158
HarvestRate,tag,rules,0x524523,0x82597c
Harvester,tag,ra2|rules|ts,0x67438c 0x7476a6,0x83d4cc
HarvesterDumpRate,unclassified,,0x670cd4,0x83be4c
HarvesterImmune,tag,map|ra2|rules|ts,0x6b8c07 0x6b8ebf,0x84020c
HarvesterLoadRate,unclassified,,0x670cf4,0x83be38
HarvesterTooFarDistance,tag,ra2|rules,0x66ffe3,0x83c480
HarvesterTruce,tag,ra2|rules,0x672109,0x83cfd8
HarvesterUnit,tag,ra2|rules|ts,0x66f8dd,0x83c754
HarvestersPerRefinery,tag,ra2|rules,0x6705d3,0x83c128
HasRadialIndicator,tag,ra2|rules|ts|tsfs,0x5f9528,0x832b4c
HasSpotlight,tag,ts,0x45feec,0x81aea0
HasStupidGuardMode,tag,ra2|rules|ts|tsfs,0x460ea7,0x81a884
HasTurretTooltips,tag,ra2|rules,0x712837,0x844354
Header,unclassified,,0x689d86 0x689da4 0x689dbe 0x689de0 0x689dfe 0x689e18 0x689e5a 0x689ebe 0x689eda 0x689ef8 0x689f16 0x689f34 0x689f52 0x689f98 0x68aeed 0x68af05 0x68af21 0x68af3b 0x68af8e 0x68afac 0x68b08a,0x83de68
HealCrateSound,tag,ra2|rules|ts,0x66ba1d,0x83ac88
Height,tag,art|map|ra2|rules|ts|tsfs,0x4610e5 0x597842 0x597b2f 0x689ddb 0x689f11 0x68af36 0x6b5751,0x81a7a8
HeightBase,tag,ra2|theater|ts,0x5456a8,0x82952c
Helipad,tag,ra2|rules|ts,0x4604d3,0x81ac48
HelipadLimit,tag,ra2|rules|ts,0x673caa,0x83d204
HelipadRatio,tag,ra2|rules|ts,0x673c8a,0x83d214
HelpBar,unclassified,,0x7688b4,0x848acc
HelpBarSize,unclassified,,0x7683f2,0x848b0c
HideIfNoOre,tag,art|ra2,0x428125,0x81850c
HighlightSound,tag,ts,0x4f3360 0x4f34d6,0x8242b0
Highlighted,tag,ts,0x4f32cd,0x8242cc
History,unclassified,,0x770356,0x8491bc
HoldsWhat,tag,ra2|rules|ts|tsfs,0x644307,0x8370b0
HomeCell,tag,map,0x68a60a 0x68b3ee,0x83dfec
HomingScatter,tag,ra2|rules|ts,0x66ce1f,0x83ad58
Hospital,tag,ra2|ts,0x460ae1,0x81aa14
Hotkey,unclassified,,0x533d80 0x533db1 0x533dc7 0x533e9c 0x5fb999,0x827b80
House,tag,ai|map|ra2|ts|tsfs,0x6f10d4 0x6f1615,0x8173e8
House1,unclassified,,0x49c31f 0x49c8c8,0x81f17c
House2,unclassified,,0x49c352 0x49c92f,0x81f16c
Houses,unclassified,,0x5009b9 0x5009de 0x5009ed 0x50116a 0x5011ce,0x824d54
Hover,tag,art|ra2|rules|ts,0x674031 0x674054,0x81dbbc
HoverAcceleration,tag,ra2|rules|ts,0x66ee57,0x83c9f0
HoverAttack,tag,ra2|rules,0x71255a,0x8443b0
HoverBob,tag,ra2|rules|ts,0x66edec,0x83ca1c
HoverBoost,tag,ra2|rules|ts,0x66ee31,0x83ca04
HoverBrake,tag,ra2|rules|ts,0x66ee7d,0x83c9e4
HoverDampen,tag,ra2|rules|ts,0x66edc5,0x83ca28
HoverHeight,tag,ra2|rules|ts,0x66ee0b,0x83ca10
HoverPad,unclassified,,0x46057a,0x81ac14
HunterSeeker,tag,ts,0x714cae,0x843888
ICBMLauncher,tag,ts,0x460f29,0x81a834
IDNO,code,,0x6c6fc6,0x842124
IFVMode,tag,ra2|rules,0x714787,0x843ae4
IFVTransformSound,unclassified,,0x66a48d,0x83a61c
IMAGEHLP.DLL,file,,0x4c8609,0x822174
IMPORTANT,unclassified,,0x752f0e,0x8467a0
INFANTRY,unclassified,,0x698b1a,0x83f004
INTERRUPT,unclassified,,0x752e6b,0x816120
INTRO,unclassified,,0x52d9af 0x52dcb6 0x52dee2 0x52e29e 0x5355c0 0x77b2e8 0x77d7dd 0x77e18e 0x78b9f9 0x78ee62,0x8263a8
IRQ,code,,0x6984fd 0x6992b2,0x83f0cc
IRepairRate,tag,ra2|rules|ts,0x670e6b,0x83bdb8
IRepairStep,tag,ra2|rules|ts,0x670df6,0x83bddc
ISOGEN.MIX,file,,0x5305de,0x8267f8
ISOGENMD.MIX,file,,0x5305a2,0x826804
IceBreakingWeight,tag,ra2|rules|ts,0x66f1b8,0x83c8e4
IceCrackSounds,tag,ra2|rules|ts,0x66b577,0x83a2a4
IceCrackingWeight,tag,ra2|rules|ts,0x66f192,0x83c8f8
IceGrowthEnabled,tag,map,0x68a5b0 0x68b475,0x83e020
IceGrowthRate,tag,ra2|rules|ts,0x66b523,0x83a2cc
IceSolidifyFrameTime,tag,ra2|rules|ts,0x66b543,0x83a2b4
IdleActionFrequency,tag,ra2|rules|ts,0x66b3f8,0x83a338
IdleAnim,tag,art|ra2,0x463f7e,0x8197f0
IdleAnimDamaged,tag,art|ra2,0x463fdc,0x8197e0
IdleAnimGarrisoned,unclassified,,0x464076,0x8197cc
IdleAnimPowered,tag,art|ra2,0x4641ad,0x819784
IdleAnimPoweredEffect,unclassified,,0x4641e7,0x819754
IdleAnimPoweredLight,unclassified,,0x4641ca,0x81976c
IdleAnimPoweredSpecial,unclassified,,0x464204,0x81973c
IdleAnimX,unclassified,,0x464139,0x8197c0
IdleAnimY,unclassified,,0x464156,0x8197b4
IdleAnimYSort,tag,art|ra2,0x464190,0x819794
IdleAnimZAdjust,tag,art|ra2,0x464173,0x8197a4
IdleRate,tag,ra2|rules,0x712243,0x8444d4
IgnoreGlobalAITriggers,tag,map,0x68a278 0x68b1bf,0x83e0a4
IgnoresFirestorm,tag,ra2|rules|ts|tsfs,0x5f9564,0x832b2c
Image,tag,art|map|ra2|rules|ts|tsfs,0x45f93a 0x46c1da 0x4f2cd1 0x4f3288 0x4f3916 0x5f9335 0x721c41,0x819420
Immune,tag,ra2|rules|ts|tsfs,0x5f94f4,0x832b70
ImmuneToPoison,tag,rules,0x71504c,0x843704
ImmuneToPsionicWeapons,tag,rules,0x714fc8,0x84373c
ImmuneToPsionics,tag,ra2|rules,0x714fa7,0x843754
ImmuneToRadiation,tag,ra2|rules,0x714d53,0x843854
ImmuneToVeins,tag,ra2|rules|ts|tsfs,0x714c2a,0x8438cc
ImpactLandSound,tag,ra2|rules,0x669965 0x712f38,0x83a9c4
ImpactWaterSound,tag,ra2|rules,0x669924 0x712efc,0x83a9d4
InGameMusic,unclassified,,0x5fab88 0x5faf40,0x833070
Inaccurate,tag,ra2|rules|tsfs,0x46c0ef,0x81b0ac
IncomeMult,unclassified,,0x511d05,0x8252b8
Incoming,tag,ra2|rules|ts,0x66cf1c,0x83acdc
IncomingMessage,tag,ra2|rules|ts,0x66a7bf,0x83a548
Inert,tag,map,0x6b8c3c 0x6b8e97,0x840204
InfDeath,tag,ra2|rules|ts|tsfs,0x75d766,0x847d88
InfantryAbsorb,tag,rules,0x4609a9,0x81aaac
InfantryBaseMult,tag,ra2|rules|ts,0x673a7e,0x83d2e0
InfantryBlinkDisguiseTime,tag,ra2|rules,0x671d7f,0x83b46c
InfantryBrute,tag,rules,0x66e478,0x83cd04
InfantryCostBonus,tag,rules,0x460691,0x81abc0
InfantryExplode,tag,ra2|rules|ts,0x66e33e,0x83cd54
InfantryGainSelfHeal,tag,rules,0x4601a2,0x81ad18
InfantryHeadPop,tag,ra2|rules,0x66e3bc,0x83cd34
InfantryMutate,tag,rules,0x66e4b6,0x83ccf4
InfantryNuked,tag,ra2|rules,0x66e3fa,0x83cd24
InfantryReserve,tag,ra2|rules|ts,0x673a5e,0x83d2f4
InfantryVirus,tag,rules,0x66e439,0x83cd14
Infiltrate,tag,ra2|rules|ts,0x5244a1,0x8259bc
InfiniteMindControl,tag,rules,0x77220b,0x84948c
InitStringIndex,unclassified,,0x6985de 0x699256,0x83f08c
InitStrings,unclassified,,0x69865b 0x698696 0x6986a9 0x69933a 0x69937a,0x83f05c
InitTime,tag,map,0x686c19 0x68b4c4,0x83dc68
InitialAmmo,unclassified,,0x714755,0x843aec
InitialVeteran,tag,map|ra2|rules|ts|tsfs,0x6b8bcf 0x6b8d0e,0x84022c
InitiateTurretIndex,tag,rules,0x747dee,0x845a58
InitiateTurretWeapon,tag,rules,0x747dfd,0x845a40
InprocServer32,unclassified,,0x6bb87a,0x840ae8
Insignificant,tag,map|ra2|rules|ts|tsfs,0x5f950a,0x832b60
Intro,tag,map,0x4f1d0a 0x4f2158 0x683c72 0x68a002 0x68b2c9 0x6bdf6a 0x6bdff3,0x8241c0
Invisible,unclassified,,0x714a9e,0x843944
InvisibleInGame,tag,ra2|rules|ts|tsfs,0x460df2,0x81a8cc
Inviso,tag,ra2|rules|ts|tsfs,0x46c0a1,0x81b0cc
IonAmbient,tag,map|ts,0x599951 0x68a993 0x68b6de,0x82bf5c
IonBeam,tag,ra2|rules|ts,0x66dcef,0x83cec8
IonBlast,tag,ra2|rules|ts,0x66dcb0,0x83ced0
IonBlue,tag,map|ts,0x5999a4 0x68aa41 0x68b747,0x82bf40
IonCannonDamage,tag,ra2|rules|ts,0x66bc05,0x83b284
IonCannonWarhead,tag,ra2|rules|ts,0x66ca8e,0x83aecc
IonGreen,tag,map|ts,0x59998b 0x68aa07 0x68b724,0x82bf48
IonGround,tag,map|ts,0x5999b9 0x68aa7b 0x68b76a,0x82bf34
IonImmune,tag,ai|map|ra2|ts|tsfs,0x6f1398 0x6f1773,0x842ffc
IonLevel,tag,map|ts,0x5999ce 0x68aab5 0x68b78d,0x82bf28
IonRed,tag,map|ts,0x59996e 0x68a9cd 0x68b701,0x82bf54
IonSensitive,unclassified,,0x772824,0x849300
IonStorms,tag,map|ra2|rules|ts,0x6b8c59 0x6b8d36,0x8401f8
IronCurtainColor,tag,rules,0x66b844,0x83a1a4
IronCurtainDuration,tag,ra2|rules,0x66c63e,0x83b0b8
IronCurtainInvokeAnim,tag,ra2|rules,0x66e244,0x83cda0
IsARock,tag,ra2|rules|ts,0x5fe9de,0x8334dc
IsAlternateColor,tag,ra2|rules,0x77288c,0x8492c0
IsAnimDelayedFire,tag,art|ra2,0x4611aa,0x81a760
IsAnimated,tag,ra2|rules|ts|tsfs,0x71e022,0x84465c
IsAnimatedTiberium,tag,art|ra2|ts,0x4282b5,0x818468
IsBaseDefense,tag,ai|map|ra2|rules|ts|tsfs,0x461003 0x6f13b2 0x6f17af,0x81a7ec
IsBigLaser,tag,ra2|rules|ts|tsfs,0x7727f0,0x849310
IsChargeTurret,tag,ra2|rules,0x712885,0x84432c
IsDropship,tag,ts,0x712357,0x84447c
IsElectricBolt,tag,ra2|rules,0x772854,0x8492e4
IsFlamingGuy,tag,art|ra2|ts,0x4282e9,0x818448
IsFlammable,tag,ra2|rules|ts|tsfs,0x71df4a,0x844668
IsGattling,tag,rules,0x71401d,0x843e4c
IsHouseColor,tag,map|ra2|rules,0x772675,0x8493c8
IsLaser,tag,map|ra2|rules|ts|tsfs,0x772627,0x8493e0
IsLine,tag,rules,0x77265f,0x8493d8
IsLocomotor,tag,rules,0x75d86b,0x847d3c
IsMagBeam,tag,rules,0x7728f0,0x84928c
IsMeteor,tag,art|ra2|rules|ts,0x42822e 0x74b0d3,0x8184b0
IsPlug,tag,ts,0x4605ae,0x81ac00
IsPowered,tag,ra2|rules|ts|tsfs,0x6ceaa9,0x84270c
IsProcessorFeaturePresent,unclassified,,0x7ceb0e,0x7f9870
IsRadBeam,tag,ra2|rules,0x7728a2,0x8492b4
IsRadEruption,tag,ra2|rules,0x7728c0,0x8492a4
IsRailgun,tag,ra2|rules|ts,0x77272f,0x849368
IsRubble,tag,ra2|rules,0x5fe9fc,0x8334d0
IsScoreRepeat,unclassified,,0x5fab05 0x5faef3,0x83308c
IsScoreShuffle,unclassified,,0x5fab49 0x5faf0b,0x83307c
IsSelectableCombatant,tag,ra2|rules,0x715757,0x843414
IsSimpleDeployer,tag,rules,0x747688,0x845dfc
IsSonic,tag,ra2|rules|ts,0x7720d3,0x849540
IsTemple,tag,ts,0x460594,0x81ac08
IsThreatRatingNode,tag,ts,0x46101d,0x81a7d8
IsTiberium,tag,art|ra2|rules|ts,0x42810b 0x74b0b5,0x818518
IsTilter,tag,ra2|rules|ts|tsfs,0x747712,0x845df0
IsTrain,tag,ts,0x712277,0x8444bc
IsVeinhole,tag,ra2|rules|ts,0x71deee,0x844684
IsVeinholeMonster,tag,ra2|rules|ts,0x5fe97a,0x833500
IsVeins,tag,ra2|rules|ts,0x428248 0x5fe990,0x8184a8
ItemMax,tag,ts,0x4f200f,0x82418c
Ivan,tag,ra2|rules,0x5244b7,0x8259b4
IvanBomb,tag,ra2|rules,0x75d807,0x81bd60
IvanDamage,tag,ra2|rules,0x66c5bb,0x83b110
IvanIconFlickerRate,tag,ra2|rules,0x66c61e,0x83b0cc
IvanTimedDelay,tag,ra2|rules,0x66c5da,0x83b100
IvanWarhead,tag,ra2|rules,0x66c50c,0x83b154
JumpJet,tag,ra2|rules|ts,0x7151ec,0x843640
JumpJetTurn,tag,rules,0x52465b,0x8258fc
JumpjetAccel,unclassified,,0x715165,0x843680
JumpjetClimb,tag,ra2|rules,0x7150f8,0x8436b0
JumpjetCrash,tag,ra2|rules,0x71511e,0x8436a0
JumpjetDeviation,tag,ra2|rules,0x7151cb,0x843648
JumpjetHeight,tag,ra2|rules,0x71513f,0x843690
JumpjetNoWobbles,tag,ra2|rules,0x7151ac,0x84365c
JumpjetSpeed,tag,ra2|rules,0x7150d0,0x8436c0
JumpjetTurnRate,unclassified,,0x7150af,0x8436d0
JumpjetWobbles,tag,ra2|rules,0x71518b,0x843670
KERNEL32,unclassified,,0x7ceaff,0x7f988c
KERNEL32.DLL,file,,0x48dd61,0x81d820
KEYBOARDMD.INI,file,,0x533d36 0x5fba1f,0x827b88
KeyboardMD.ini,file,,0x5fb9b1,0x8333ac
Keys,tag,ts,0x4f3bd7,0x824340
Kills1,unclassified,,0x49c37e 0x49c985,0x81f15c
Kills2,unclassified,,0x49c398 0x49c99e,0x81f154
