String,Kind,Domains,ReadSites,StringVA
AllowPage,unclassified,,0x77ded2 0x77dfee,0x84a534
AllowShroudedSubteranneanMoves,tag,ra2|rules|ts,0x66eb0f,0x83cb60
AllowTiberium,tag,ra2|theater|ts,0x546188,0x829208
AllowToPlace,tag,ra2|theater|ts,0x546155,0x829228
AllowVRAMSidebar,unclassified,,0x5fa999,0x8330c8
AllowableUnitMaximums,unclassified,,0x68a4ad 0x68b241,0x83e060
AllowableUnits,unclassified,,0x68a352 0x68b227,0x83e078
AllowedToStartInMultiplayer,tag,mp|ra2|rules|ts|tsfs,0x714c4b,0x8438b0
AllyChangeAllowed,tag,mp|rules,0x672168,0x83cfb4
AllyParaDropInf,tag,map|ra2|rules,0x6706a4,0x83c0e4
AllyParaDropNum,tag,map|ra2|rules,0x6706dc,0x83c0d4
AllyReveal,tag,ra2|rules|ts,0x66b310,0x83a390
AlphaImage,tag,ra2|rules|ts,0x5f937e,0x832c00
AltCameo,tag,art|ra2,0x715a6e 0x716d34,0x843344
AltHomeCell,tag,map,0x68a62c 0x68b40a,0x83dfe0
AltImage,tag,ts,0x747b80,0x845c94
AltNextScenario,tag,map,0x689fe8 0x68b0cc,0x83e18c
AltPalette,tag,art|ra2|ts|tsfs,0x427e04,0x818638
AlternateArcticArt,tag,ra2|rules,0x5f9458,0x832bac
Ambient,tag,map,0x59989e 0x68a82b 0x68b60c,0x82bf94
AmbientChangeRate,tag,ra2|rules|ts,0x66b5eb,0x83a290
AmbientChangeStep,tag,ra2|rules|ts,0x66b612,0x83a27c
AmbientDamage,tag,ra2|rules|ts,0x7720bb,0x849548
AmbientSound,tag,ra2|rules,0x5f93d0,0x832be4
AmerParaDropInf,tag,ra2|rules,0x67063c,0x83c104
AmerParaDropNum,tag,ra2|rules,0x670674,0x83c0f4
Americans,unclassified,,0x6877cc 0x68787e,0x83db9c
Ammo,tag,ra2|rules|ts,0x71476d,0x81bbe0
AmmoCrateDamage,tag,ra2|rules|ts,0x66bbe8,0x83b294
Amphibious,tag,ra2|rules|ts,0x67418b 0x6741ae,0x81bb18
Anim,tag,ra2|rules|ts|tsfs,0x4f3956 0x772471,0x817448
